project,download_count
httpstan,807548
jinja2-simple-tags,805797
formulaic,805444
quinn,805327
django-oauth-toolkit,803991
betterproto,803818
shrub-py,803534
suds-jurko,803257
spacy-wordnet,801471
flatten-dict,800785
breathe,800602
fastapi-utils,800598
iso3166,799909
ulid-py,797994
bazel-runfiles,796138
objgraph,795845
pyhanko-certvalidator,794915
treelib,794777
pipreqs,794751
webtest,793999
alive-progress,792712
os-service-types,792264
oss2,791138
pyobjc-core,790383
flatdict,789844
pytest-assume,789176
pytest-icdiff,788544
selinux,787599
fvcore,786734
oslo-i18n,785455
aws-cdk-integ-tests-alpha,783990
backports-csv,783354
python-dynamodb-lock,783201
about-time,781656
easydict,781575
markuppy,777947
riot,777477
crc32c,775873
crypto,774126
versioneer,773605
open3d,773211
speechrecognition,771573
singleton-decorator,771131
lunardate,769390
django-silk,768495
github-heatmap,768098
bumpversion,767912
types-psutil,765823
dagster-graphql,765778
python-memcached,762303
mypy-boto3-appconfig,762268
pytest-httpserver,762045
prospector,762005
minidump,761942
ibm-cloud-sdk-core,760504
argparse-addons,759890
xmodem,759877
python-xlib,759406
cchardet,758644
requests-kerberos,758615
pdm-backend,758217
msoffcrypto-tool,755809
types-html5lib,755527
pyvmomi,755497
func-timeout,755364
pgvector,754517
arnparse,754373
debtcollector,753816
types-click,753494
ibm-db,752474
prometheus-fastapi-instrumentator,749160
halo,746901
attrdict,745661
git-remote-codecommit,745442
hnswlib,745170
types-pymysql,744952
recordlinkage,744376
textparser,743500
pytest-aiohttp,743028
qudida,742699
gcs-oauth2-boto-plugin,742650
openstacksdk,741001
sphinx-basic-ng,740507
pyscaffold,739725
xlutils,739261
easyprocess,739068
impyla,738864
django-otp,737532
dep-logic,737280
sse-starlette,735403
opentelemetry-instrumentation-httpx,735143
retry-decorator,734029
textdistance,733912
zha-quirks,733834
clarabel,733314
flake8-quotes,733239
pyscreeze,732905
azure-communication-email,731880
zigpy-deconz,730686
dagster-pipes,730551
panel,729585
apprise,729178
pytest-parallel,729156
zigpy-xbee,728557
recommonmark,728411
stomp-py,728030
cibuildwheel,727485
types-dataclasses,726584
publicsuffixlist,726250
colored,725892
oslo-serialization,725447
dateutils,725317
zigpy-znp,724948
bellows,724573
clang,723668
eradicate,723128
pyod,722140
circuitbreaker,721926
openapi-schema-pydantic,719217
pyautogui,718237
tecton,716126
pyshp,716120
newspaper3k,714965
django-taggit,714153
livy,713957
django-picklefield,713738
gpiozero,712798
colorzero,712751
gnureadline,712427
flake8-pyproject,712425
pyerfa,712143
stepfunctions,711195
google-analytics-data,710909
pip-api,710107
drf-nested-routers,708390
rjsmin,708322
aws-assume-role-lib,707996
logz,707302
joserfc,707272
pylru,706722
spark-sklearn,706179
phonenumberslite,704763
azure-cli-nspkg,703710
schedula,703283
formulas,702298
anyconfig,701469
hstspreload,700297
numpydoc,698755
flake8-eradicate,698755
keyrings-alt,698633
polyline,698196
msgpack-python,697552
okta,697517
torchtext,697358
bson,696238
datadog-logger,694123
django-csp,693641
datacompy,693636
aiogram,692528
pytweening,691944
sparse,688627
types-colorama,688498
kornia-rs,687939
shyaml,686955
triad,684285
types-pkg-resources,684136
python-iso639,684083
pysaml2,683387
mecab-python3,682672
django-health-check,682241
scikit-base,681300
transitions,681212
supervision,680204
basicsr,680065
jupytext,679422
pillow-heif,678786
fugue,676271
algoliasearch,675868
delta,675760
tbats,674118
gssapi,673815
pluginbase,673497
types-decorator,673327
django-widget-tweaks,672430
aiocache,671747
pygetwindow,669038
envyaml,668883
pytest-httpx,668871
types-python-slugify,667820
pymongo-auth-aws,667455
rpaframework-pdf,667195
sqlalchemy-stubs,665975
pyrect,665756
geocoder,665522
azure-ai-formrecognizer,665316
python-fsutil,664956
gfpgan,664524
aiorwlock,663459
openlineage-sql,663287
pygtrie,661391
flask-mail,660825
rpyc,660447
openxlab,659739
buildkite-test-collector,659648
setuptools-git-versioning,659489
progress,659473
azure-keyvault-nspkg,659038
jsonpath-python,658661
django-prometheus,658385
pantab,657592
vertica-python,657445
django-anymail,657221
molecule-plugins,656794
python-keycloak,656776
qpd,656450
azure-messaging-webpubsubservice,656344
djangorestframework-jwt,656138
types-beautifulsoup4,655595
slacker,655518
pandarallel,655453
fasttext-langdetect,655418
pyu2f,655373
ratelim,653152
rpy2,653068
pydeprecate,652951
tsx,651407
types-boto,651306
streamerate,650936
sparkorm,650841
giturlparse,650799
throttlex,650710
crayons,650350
editorconfig,650070
beautifulsoup,649873
safety-schemas,649341
brotlicffi,648628
mouseinfo,647893
types-chardet,647754
pymsgbox,647712
rcssmin,646212
requestsexceptions,645811
backports-ssl-match-hostname,645518
ajsonrpc,645090
django-mptt,645064
salesforce-fuelsdk,644868
pyjsparser,644864
swagger-spec-validator,644693
jupyter-nbextensions-configurator,644651
cheetah3,644534
adagio,643738
apache-airflow-providers-dbt-cloud,643721
pantsbuild-pants,642756
splunk-sdk,642097
pytest-localserver,641437
simplefix,640737
argh,640473
mypy-boto3-events,639634
nulltype,636677
singer-python,636382
llama-index-core,636281
sanic-routing,635836
gevent-websocket,635321
pymilvus,635216
josepy,633857
opentelemetry-instrumentation-aws-lambda,633550
detect-secrets,633525
thriftpy2,633294
pyairtable,633063
yarn-api-client,632643
edgegrid-python,631899
shiboken6,631686
wurlitzer,631019
flake8-import-order,630825
uplink,630791
types-pyserial,630013
pyupgrade,628911
justext,628319
pyston,627791
yeelight,627494
pytest-freezegun,627076
pyside6-essentials,627061
ansible-base,625974
pyston-autoload,625849
pyside6,625159
django-ses,624628
decli,623605
socksio,623517
pyrtf3,622929
readthedocs-sphinx-ext,622873
webrtcvad-wheels,622620
brotlipy,622095
gslides,621940
jupyter-highlight-selected-word,621763
apache-airflow-providers-celery,621238
python-logging-loki,620717
embedding-reader,619703
discord-py,619618
netsuitesdk,619068
pandas-profiling,618924
starlette-context,618303
gym-notices,616857
tflite-model-maker-nightly,616626
asgi-lifespan,616241
dagster-aws,614036
django-formtools,613893
azureml-featurestore,613719
scons,613378
python-benedict,613144
publish-event-sns,612377
libsass,612292
testtools,609810
accessible-pygments,609218
pattern,609107
rpaframework,608570
opentelemetry-exporter-jaeger-thrift,606910
tableau-api-lib,606564
workalendar,605778
ckzg,605718
lucopy,605217
django-compressor,604670
polling2,604443
jsonfield,602450
patchelf,601639
dirtyjson,601480
poyo,601088
looseversion,599480
mxnet,598608
dpkt,598208
latexcodec,597950
attr,597363
anybadge,596248
pyobjc-framework-quartz,595888
graphene-django,595452
pyawscron,595188
mando,594780
httpretty,594352
sphinx-tabs,594315
ddt,594308
xmod,594174
darkdetect,593636
sparqlwrapper,593473
tinydb,593325
lightfm,593040
ansible-runner,592922
quart,592397
tinysegmenter,592100
yattag,591767
pytype,591582
litellm,591145
trafilatura,590974
pysmi,590857
apache-airflow-providers-microsoft-azure,590507
google-generativeai,590006
radon,588699
googletrans,588618
editor,587958
ccxt,586487
restrictedpython,586148
pytest-lazy-fixture,585447
datadog-lambda,585002
sphinxcontrib-websupport,584726
runs,584388
dagster-spark,583816
pykakasi,583549
numcodecs,583270
vulture,583164
jsbeautifier,582154
zarr,581526
pybtex,581255
pyside6-addons,581223
validate-email,581146
mysql,581077
yellowbrick,581036
gtts,581002
python3-logstash,580634
htmldocx,580551
formic2,580273
param,580266
flake8-debugger,578993
coolname,578726
pathlib-mate,578378
google-cloud-iam,578126
opentelemetry-instrumentation-sqlite3,575828
opentelemetry-exporter-jaeger,575554
jinja2-cli,575017
morefs,573462
opentelemetry-exporter-jaeger-proto-grpc,573123
courlan,571566
arpeggio,571242
lpips,571029
flask-swagger,570819
google-cloud-ndb,570598
sqllineage,568182
pytest-azurepipelines,568027
python-ipware,567668
splunk-handler,567191
robocorp-storage,566652
types-aiobotocore,564563
a2wsgi,564460
qdrant-client,563410
codecov,563336
graphitesend,563234
credstash,561815
aiosmtplib,561340
stdlib-list,561240
blendmodes,560832
pismosendlogs,560371
pip-audit,560183
pytoolconfig,560084
types-futures,560008
typing-utils,559417
scikit-plot,559312
scenedetect,559178
pybloom-live,557697
backports-shutil-get-terminal-size,557395
django-webpack-loader,557010
port-for,555780
ldaptor,555779
google-cloud-error-reporting,555228
sqlitedict,554956
pyobjc,553612
pytest-flake8,553459
utm,553316
pyxdg,553149
jinja2-pluralize,553140
fugue-sql-antlr,553069
pytube,552034
update-checker,551558
microsoft-kiota-abstractions,551424
dotmap,551337
grapheme,551198
h5netcdf,550740
yaql,550696
opentelemetry-instrumentation-jinja2,550636
cloudscraper,550518
plaid-python,550339
robotframework-jsonlibrary,550195
commitizen,549842
nbsphinx,549492
sqlalchemy-json,548648
asyncstdlib,547067
colorcet,546983
pyiceberg,546975
neptune-client,546974
gymnasium,546904
ocspbuilder,546632
backports-datetime-fromisoformat,546534
pyjarowinkler,546254
pydicom,546167
dlib,546083
swifter,545967
databricks-feature-store,545832
tomesd,545605
jupyter-contrib-nbextensions,545330
pythonnet,543878
ocspresponder,543552
k8,542940
apipkg,542705
darglint,541989
alexapy,541252
junit2html,541174
pytest-testinfra,541039
microsoft-kiota-http,539870
google-ai-generativelanguage,539059
mypy-boto3-kms,538611
authcaptureproxy,538519
flit,537899
pip-licenses,536959
flake8-bandit,536501
python-keystoneclient,536413
dagster-postgres,536279
pytenable,535415
robotframework-seleniumtestability,535218
pyminizip,534721
pysnmp,533576
restructuredtext-lint,532692
mypy-boto3-sns,532387
fastdtw,532364
pyobjc-framework-coreservices,532304
west,531957
promptflow,531870
curatorbin,531839
microsoft-kiota-authentication-azure,531562
couchbase,531412
pykmip,530788
win32-setctime,529409
azure-synapse-nspkg,529181
asgi-correlation-id,528403
django-ratelimit,527887
pyobjc-framework-addressbook,527843
ratelimiter,527618
pytd,527295
model-bakery,526826
django-polymorphic,526372
torch-model-archiver,526365
grpc-stubs,526286
statsforecast,526247
pyobjc-framework-automator,526027
pyobjc-framework-exceptionhandling,525692
types-werkzeug,525610
htmllistparse,525460
pytest-deadfixtures,524825
aiomysql,524397
suds-py3,524157
proxy-protocol,524050
django-ckeditor,523256
pinotdb,523207
jsonpath-rw-ext,523176
untokenize,522943
pysbd,522853
pyobjc-framework-launchservices,522617
seleniumbase,521756
pyobjc-framework-avfoundation,521458
pydruid,521072
pyobjc-framework-osakit,520513
pyobjc-framework-coremedia,520474
jiwer,520438
java-access-bridge-wrapper,520398
pynput-robocorp-fork,520154
pyobjc-framework-fsevents,519696
pyobjc-framework-syncservices,519668
django-admin-rangefilter,519521
awacs,518932
pyobjc-framework-servicemanagement,518727
pyobjc-framework-screensaver,518707
types-aiobotocore-s3,518017
pyobjc-framework-eventkit,517857
fastapi-pagination,517681
requests-oauth,517646
pyobjc-framework-searchkit,517226
pyobjc-framework-corewlan,517177
lifelines,517087
pyobjc-framework-notificationcenter,516848
imutils,515670
django-waffle,515028
structlog-sentry,514979
std-uritemplate,514978
pytest-clarity,514728
pyobjc-framework-coremediaio,514490
parver,514341
pyobjc-framework-accounts,513935
awscliv2,513929
pyobjc-framework-avkit,513804
capstone,513601
gym,513514
pyenchant,513326
pyobjc-framework-multipeerconnectivity,513295
pyobjc-framework-netfs,513235
pyobjc-framework-instantmessage,512879
interface-meta,512740
pyobjc-framework-coreml,512350
pyobjc-framework-findersync,512236
alt-profanity-check,511980
striprtf,511777
confuse,511503
pyobjc-framework-naturallanguage,511347
apache-airflow-providers-odbc,509992
pyobjc-framework-dictionaryservices,509984
pyobjc-framework-network,509947
azure-mgmt-resourcegraph,508918
evergreen-lint,508431
fairscale,508240
django-rq,507426
dvc,507407
multiping,506962
xmljson,506330
kedro,506198
pyrate-limiter,505821
types-tqdm,503375
pyproject-flake8,503207
opentelemetry-instrumentation-celery,502701
mirakuru,502321
awslambdaric,502205
tf-models-nightly,502016
mypy-boto3-elbv2,501382
pyopengl,501275
django-guardian,500681
delayed-assert,500522
sparkmeasure,499828
flasgger,499549
frida,499374
openlineage-python,498013
python-ulid,497151
jupyter-contrib-core,497035
importlib,496851
publicsuffix2,496646
domdf-python-tools,496642
tqdm-multiprocess,496533
flake8-broken-line,495911
nibabel,495865
line-profiler,495563
pyunormalize,495321
sumy,495224
towncrier,495105
flake8-plugin-utils,494528
clickhouse-sqlalchemy,493833
tk,493386
docx2txt,492356
requests-pkcs12,492300
java-manifest,492061
pydrive2,492048
import-deps,491161
pythran-openblas,491120
pytest-flask,490191
clr-loader,489501
acme,489070
opentelemetry-exporter-gcp-trace,487926
flask-swagger-ui,487791
zenpy,486931
autofaiss,486805
pytest-celery,486345
jaxtyping,485295
smartystreets-python-sdk,485263
nested-lookup,484660
farama-notifications,484301
microsoft-kiota-serialization-json,484289
frictionless,484274
keyboard,483004
temporalio,482934
html-text,482335
pyicu,480922
ndindex,480815
robotframework-stacktrace,480681
fixtures,480317
databricks-pypi2,480274
aiodataloader,480149
patool,479960
opencc,479378
azure-schemaregistry,478663
microsoft-kiota-serialization-text,478123
dvc-render,477742
llamaindex-py-client,477441
opentelemetry-instrumentation-starlette,477104
platformio,475795
readability-lxml,475150
cement,474835
tensorflow-recommenders,474610
pip-check,474553
pytelegrambotapi,474332
azureml-fsspec,473563
realesrgan,473425
jsmin,472643
deepspeed,472276
progressbar,472163
holoviews,471689
whoosh,471683
pyroute2,471552
mkdocs-git-revision-date-localized-plugin,471430
lupa,470846
sttable,470524
pgeocode,470197
aws-cdk-aws-glue-alpha,469592
ping3,469026
memray,468040
nats-py,468015
gender-guesser,467615
tox-gh-actions,467486
google-cloud-pipeline-components,467274
pusher,466128
django-axes,466075
graypy,465995
nptyping,465564
logzero,465020
docformatter,464504
exchange-calendars,464012
python-string-utils,463842
json-logging,462786
icecream,462194
shandy-sqlfmt,461827
hdbscan,461376
reverse-geocoder,461058
llama-index-readers-file,460965
fcm-django,460446
backports-abc,459816
django-reversion,459755
stopit,459680
uncertainties,459647
django-auth-ldap,459584
rtoml,459355
tbb,459217
rarfile,459008
aws-logging-handlers,457202
openlineage-integration-common,457153
pyvis,457130
langid,457069
pandas-datareader,456759
jupyter-packaging,456626
tzwhere,456224
onnxmltools,456001
faust-cchardet,455884
databases,455845
kr8s,455564
msgraph-sdk,455470
django-treebeard,455185
openapi-core,454770
astropy-iers-data,454529
pybase62,454474
gnupg,454366
nanoid,453869
promptflow-tools,453623
pyapacheatlas,453219
flake8-tidy-imports,453089
suds-community,453019
googleads,452903
shellcheck-py,452449
python-barcode,452358
flake8-commas,450447
python-logstash,450427
blackduck,450369
python-jsonpath,449955
django-nose,449787
mmhash3,449685
statistics,449491
gorilla,449467
casefy,449059
opentelemetry-instrumentation-asyncpg,448226
awkward,448013
marko,446918
zipfile38,446654
glances,446644
scylla-driver,446426
heapdict,446033
macholib,445947
hishel,445332
device-detector,443719
regress,443700
pytest-factoryboy,443470
snowflake,442712
kconfiglib,442426
assertpy,441898
pyobjc-framework-pubsub,441721
lml,441551
pypinyin,441506
cloudinary,441380
aws-kinesis-agg,441041
sphinx-autoapi,440920
torchbiggraph,440673
clickhouse-cityhash,440446
logzio-python-handler,440320
xdg,439860
extras,439371
zipfile36,439302
requirements-detector,439262
cvdupdate,438701
llama-index-llms-openai,438181
awkward-cpp,438074
puremagic,437969
teamcity-messages,437511
spandrel,437079
types-flask,436877
sphinx-book-theme,436794
fancycompleter,436747
sgp4,436402
psycopg2-pool,436099
opentelemetry-resourcedetector-gcp,435917
pytest-snapshot,435549
jplephem,435423
autograd-gamma,434899
azure-data-nspkg,434713
pytest-pythonpath,434662
types-stripe,434656
python-on-whales,434378
postgres,434089
pynut3,433461
pyviz-comms,433365
textstat,433265
django-rest-swagger,433194
mpld3,432942
gputil,432827
pybuildkite,432785
pytest-watch,432662
sk-dist,432660
opentelemetry-instrumentation-kafka-python,432543
pyspark-stubs,432328
pyzbar,432256
marisa-trie,431769
langchain-experimental,431759
signxml,431510
pyexcel-io,431405
json2html,431095
seqio-nightly,429321
codetiming,429122
tgcrypto,428888
python-geohash,428702
pdbpp,428232
opentelemetry-propagator-b3,428213
feedfinder2,427953
jieba3k,427946
insightface,427736
torchdata,427361
rdkit,427343
textfsm,427170
wmctrl,426624
dotty-dict,426160
dagster-webserver,424917
asciitree,424828
mypy-boto3-cloudwatch,424576
pytest-nunit,424216
numpy-quaternion,423833
pydrive,423808
types-termcolor,422701
wincertstore,422495
ctranslate2,422075
grpc-gateway-protoc-gen-openapiv2,421878
readerwriterlock,421005
pytest-mypy,420954
imgaug,420912
devtools,420837
ibm-platform-services,420583
setuptools-scm-git-archive,420250
cvxopt,419922
isal,419697
py3nvml,419656
pyinotify,419229
pythonping,419101
undetected-chromedriver,418580
scrapy-splash,418418
p4python,417946
tf-estimator-nightly,417850
line-bot-sdk,417628
presidio-analyzer,417119
pandas-market-calendars,416967
plotly-resampler,416659
sphinxcontrib-bibtex,416580
types-aiobotocore-sqs,415863
flaml,415829
lkml,415781
mockito,415756
catkin-pkg,415413
pyobjc-framework-cocoa,414839
azure-mgmt-hybridcompute,414727
tyro,414397
pem,414265
target-hotglue,413479
httpx-ws,413212
typed-argument-parser,412942
textile,412665
pbs-installer,412005
llama-index-agent-openai,411905
grequests,411799
appengine-python-standard,411524
docxtpl,410736
flash-attn,409902
symspellpy,409475
beniget,409433
bravado,409321
pyglet,409306
apache-airflow-providers-mongo,408999
mapbox-earcut,408917
dict2xml,408759
policyuniverse,408614
tsdownsample,408593
seqeval,407964
docker-image-py,407881
pre-commit-hooks,407604
flufl-lock,407283
kmodes,406556
dbfread,405226
django-fsm,405135
openshift,404958
pyfarmhash,404859
aiopg,403939
pytest-profiling,403911
zipfile-deflate64,403689
scmrepo,402549
django-coverage-plugin,402333
python-mimeparse,402045
ptvsd,401915
krb5,401889
aws-cdk-asset-node-proxy-agent-v5,401874
azure-functions-durable,401793
mypy-boto3-sso,401327
asyncclick,401148
freetype-py,400551
llama-index-embeddings-openai,399675
pydevd-pycharm,399436
curl-cffi,399380
osc-lib,399190
youtube-dl,398960
sphinxcontrib-httpdomain,398926
skyfield,398862
django-localflavor,397944
path-py,397779
google-python-cloud-debugger,397248
sspilib,397204
ordereddict,397090
bcpandas,396842
fs-s3fs,396621
fastai,396293
streamsets,396069
flake8-use-fstring,395712
httpie,395402
tf2onnx,395046
azure-containerregistry,394903
pytest-postgresql,394755
pygerduty,394426
bravado-core,394317
python-frontmatter,394102
asyncio-throttle,393918
types-aiobotocore-dynamodb,393780
types-tzlocal,393759
android-backup,393706
grimp,393356
plotly-express,392382
lime,392188
flask-oauthlib,391844
dataclass-wizard,391739
traittypes,391600
html5tagger,391289
trl,390908
tink,390539
nvidia-ml-py3,390394
dlt,390058
dvc-data,389861
pytest-flakefinder,389778
bayesian-optimization,389653
django-colorfield,389264
grandalf,389116
python-swiftclient,388984
nutter,388858
pybtex-docutils,388848
pytest-pylint,388790
pyyaml-include,388430
tencentcloud-sdk-python,388091
spotinst-agent,388081
pyspark-pandas,387773
vtk,387484
python-schema-registry-client,387401
dataclasses-json-speakeasy,387376
tracerite,386791
apache-airflow-providers-docker,386508
luigi,385671
opennsfw2,384997
python-novaclient,384808
types-aiobotocore-lambda,384588
jsonconversion,384336
wasmer,383624
pyre-extensions,383404
python-openstackclient,383009
llama-index-program-openai,382458
decopatch,382065
rstr,382052
us,380978
mypy-boto3-ses,380514
dagster-k8s,380372
django-mysql,380370
trie,379915
types-ipaddress,379541
customtkinter,379323
contextily,379191
micloud,379117
lxml-html-clean,379019
pypeln,378734
multiaddr,378607
roboflow,378422
git-url-parse,378220
llama-parse,377700
llama-index-cli,377557
mpi4py,376528
mypy-boto3-logs,376156
pynput,375484
gin-config,374918
docker-py,374796
llama-index-multi-modal-llms-openai,374706
pyrogram,374626
suds,374399
python-redis-lock,374276
svg-path,373900
ceja,373700
fastrlock,373509
pyomo,373170
pyvim,372820
imapclient,372743
h2o,372639
keras-nightly,371916
cantools,371625
optbinning,371547
dagster-cloud,371518
pystac,371484
txaws,371471
etcd3,371409
stix2-patterns,371225
eli5,371116
dbx,371077
types-bleach,371030
google-cloud-os-config,370941
airflow-dbt,370926
llama-index-indices-managed-llama-cloud,370764
opentelemetry-instrumentation-pymongo,370720
tdigest,370563
zigpy-zigate,370296
cdifflib,370219
reportportal-client,370058
mypy-boto3-eks,369993
apache-airflow-providers-pagerduty,369836
tensorflow-gpu,369815
rq-scheduler,369812
llama-index-question-gen-openai,369593
aws-cdk-cx-api,369557
mypy-boto3-sagemaker,369224
html5-parser,369195
check-jsonschema,368924
envs,368749
parsley,368078
py3langid,368052
asteval,367983
leb128,367728
gcloud,367636
llama-index-readers-llama-parse,367472
rangehttpserver,367288
llama-index-legacy,366954
import-linter,366395
pygal,366346
arch,366140
xatlas,366047
submitit,365819
pyspellchecker,365562
hydra-colorlog,365333
whichcraft,365018
aws-cdk-core,364999
fiscalyear,364656
pure-pcapy3,364474
argilla,363930
transaction,363828
pylint-celery,363224
dag-factory,363198
apache-airflow-providers-oracle,362413
elementary-data,362345
rouge,362168
google-analytics-admin,362009
tslearn,361715
sqlglotrs,361613
pycarlo,361596
m2crypto,361587
myst-nb,361364
html-tag-names,360867
gmpy2,360857
html-void-elements,360816
oslo-context,360590
openapi-codec,359910
currencyconverter,359480
types-aiobotocore-ec2,359334
crontab,359092
mdx-truly-sane-lists,358973
oauth2,358700
python-cinderclient,358662
pycaret,358397
jsonformatter,358388
oslo-log,358011
segtok,357925
sqlalchemy-hana,357905
types-aiobotocore-rds,357888
geckodriver-autoinstaller,357835
aws-cdk-region-info,357715
nbdime,357314
tempita,356369
codeguru-profiler-agent,356005
cbor,355416
aws-cdk-cloud-assembly-schema,355258
mypy-boto3,355099
mistletoe,354993
swarms,354770
inventree-brother-plugin,354756
crispy-bootstrap5,354290
mypy-boto3-ecs,354125
openvino,354112
brother-ql-inventree,353897
zope-component,353742
duckduckgo-search,353740
djangorestframework-api-key,353378
snakeviz,352869
marshmallow-jsonapi,352457
django-user-agents,352171
robotframework-pabot,351523
pytorch-metric-learning,351500
types-aiobotocore-cloudformation,351486
schwifty,351221
utils,350913
testing-common-database,350442
braintree,350411
clickhouse-toolset,350020
property-cached,349888
sharepy,349463
xsdata,348728
uptime,348595
elasticsearch-dbapi,348516
pyrepl,348477
vhacdx,347916
dvc-objects,347620
xmlrunner,346645
stackprinter,346399
routes,346241
restfly,346126
types-backports,345726
flake8-simplify,345517
nose-timer,344898
pyngrok,344727
djlint,344710
ntplib,344651
hurry-filesize,344327
rlbot,344161
clipboard,344116
utilsforecast,343935
pytest-cases,343689
lief,343577
uszipcode,343565
delighted,343372
zope-hookable,342878
mypy-boto3-route53,342856
ipfshttpclient,342351
mypy-boto3-cognito-idp,342091
apispec-webframeworks,341619
hidapi,341335
types-boto3,341126
openvino-telemetry,341038
opentelemetry-instrumentation-pika,340533
cron-converter,340405
django-structlog,340401
postgrest,340399
missingno,340176
pyte,340174
schemdraw,340126
pygam,339992
python-igraph,339984
pyhdb,339691
opentelemetry-instrumentation-sklearn,339320
pymatgen,339167
sigmatools,339161
entrypoint2,339137
embreex,338917
bezier,338827
ipaddr,338532
python-semantic-release,338531
fido2,338394
scooch,338302
mkdocs-macros-plugin,338220
alchemy-mock,337980
astronomer-cosmos,337929
async-exit-stack,337821
google-cloud-org-policy,337260
asynch,336716
check-manifest,336330
pygraphviz,336302
boruta,336189
scrapyd,336157
localstack-client,335815
varint,335714
bridgecrew,335394
lxml-stubs,335272
faiss-gpu,335123
flake8-rst-docstrings,334859
pynose,334749
dodgy,334581
cma,334414
opentelemetry-exporter-prometheus,334193
mechanize,334064
jupyter-cache,333879
clearml,333725
apache-airflow-providers-salesforce,333520
libusb1,333502
deepl,333478
opentelemetry-instrumentation-system-metrics,333374
realtime,333371
parsy,333259
pysnooper,333043
imagecodecs,332851
taskgroup,331368
python-gflags,331115
django-modeltranslation,330900
scrapbook,330651
sqlite-utils,330259
cuda-python,330063
symengine,330043
psycogreen,329889
gotrue,329797
allure-behave,329723
apache-airflow-providers-tableau,329686
fairseq,329573
pytest-github-actions-annotate-failures,329446
anyjson,329075
flask-script,328939
decord,328859
pebble,328725
tableschema,328462
plantuml-markdown,327845
supafunc,327731
jsonpath,327536
my-tools-package,327276
dvc-task,327268
inquirerpy,327195
snapshottest,326737
aiolimiter,326283
wasmer-compiler-cranelift,326132
pfzy,326079
aws-cdk-aws-iam,326075
webassets,325867
testing-postgresql,325849
pvlib,325593
pytest-datadir,325511
fastnumbers,325348
tika,324959
py-evm,324866
tinybird-cli,324739
localstack-core,324729
flake8-annotations,324566
extract-msg,324514
sigtools,324395
pyreadline,324191
stix2,323986
qiskit,323708
django-tinymce,323557
verspec,323556
modal,323458
pyexasol,323391
python-gvm,322967
mongo-tooling-metrics,322315
opencv-contrib-python-headless,322042
supabase,321824
django-crontab,321383
py-moneyed,321269
gekko,321267
fastdiff,320714
django-tables2,320551
sox,320123
ibm-cos-sdk-core,319999
ibm-cos-sdk-s3transfer,319961
ibm-cos-sdk,319846
opentelemetry-instrumentation-elasticsearch,319539
mongo-ninja-python,319515
storage3,319466
infi-systray,319291
dm-haiku,318735
awsebcli,318716
pysolr,318663
z3-solver,318471
google-search-results,318230
prettierfier,318128
names,318029
mitmproxy,317924
plyvel,317861
presto-client,317593
maybe-else,317501
pathmagic,317362
pysubtypes,317259
camel-converter,317201
pyexcel,317071
pymiscutils,317039
ruamel-ordereddict,317010
spanishconjugator,316957
cityhash,316949
pyiotools,316851
python-etcd,316803
jupyter-latex-envs,316616
wheel-filename,316221
apeye,315812
gvm-tools,315643
opentelemetry-instrumentation-boto,315594
aws-cdk-aws-s3,315257
ipyparallel,314844
aws-cdk-aws-kms,314820
huaweicloudsdkcore,314661
py-grpc-prometheus,314656
cli-helpers,314485
dvc-http,314290
pydotplus,314184
outlines,314052
flask-testing,313990
pytest-variables,313592
ldapdomaindump,313542
flake8-string-format,313513
deep-translator,313475
aws-cdk-aws-ec2,313182
fastwarc,313015
office365,312600
databricks-pypi-extras,312471
plux,312209
cmakelang,312157
prefect-gcp,311981
zake,311919
interegular,311807
aws-cdk-aws-cloudwatch,311110
google-cloud-scheduler,310989
types-orjson,310851
easygui,310572
aws-cdk-aws-events,310481
pdbp,310423
py-ecc,310384
django-object-actions,310324
yamlordereddictloader,310083
chromedriver-autoinstaller,310043
oci-cli,309610
accumulation-tree,309580
dvc-studio-client,309306
odxtools,309219
aerospike,309114
pylink-square,309078
empy,309067
faster-whisper,308944
azureml-rag,308885
pdfrw,308623
lsprotocol,308512
apache-airflow-providers-datadog,308250
pyudorandom,308243
proxy-tools,308103
pypsrp,307938
pulumi-aws,307916
apeye-core,307897
sparkaid,307508
idf-component-manager,307190
securesystemslib,306946
azure-schemaregistry-avroserializer,306866
dynet,306862
google-cloud-common,306412
marshmallow-jsonschema,306385
pydateinfer,306293
isoweek,306262
openexr,306165
google-cloud-artifact-registry,306159
core-universal,306106
django-rest-passwordreset,306105
tabcompleter,306101
gitlint,306021
schematics,305781
ipympl,305624
mypy-boto3-servicecatalog,305513
aws-cdk-aws-logs,305303
sqlalchemy-mate,305111
aioodbc,304964
mypy-boto3-batch,304787
sqlalchemy-trino,304782
opentelemetry-instrumentation-boto3sqs,304749
yara-python,304744
tabula-py,304675
google-cloud-filestore,304585
pygls,304533
sphinx-notfound-page,304494
geojson-pydantic,304460
ruptures,304355
aws-cdk-aws-lambda,304224
httpie-edgegrid,303615
astpretty,303475
aws-cdk-aws-s3-assets,303320
docxcompose,303273
natto-py,303164
pact-python,303148
imath,303137
honcho,303048
beaker,302999
pytest-vcr,302956
gitlint-core,302842
sorl-thumbnail,302744
eyes-common,302570
eyes-selenium,302303
mobly,302106
crowdstrike-falconpy,302094
libify,301856
types-maxminddb,301711
snowflake-ingest,301467
pylibmc,301423
ncclient,301235
netmiko,301186
python-tools-scripts,301023
