project,download_count
jupyterlab-server,21128022
nodeenv,20877571
send2trash,20871848
simplejson,20783302
pre-commit,20280622
responses,20246305
gast,20201850
argon2-cffi,20194246
typeguard,20178334
identify,20111400
cfgv,20090010
cinemagoer,20078558
imdbpy,20067767
text-unidecode,20050200
slack-sdk,19945582
lazy-object-proxy,19862076
jupyterlab,19806769
overrides,19788189
mysql-connector-python,19712691
argon2-cffi-bindings,19689487
json5,19659145
nltk,19580471
opentelemetry-sdk,19567685
great-expectations,19514300
notebook-shim,19409841
xgboost,19375692
oauth2client,19320045
xlsxwriter,19180574
pandocfilters,19069906
flatbuffers,19028805
semver,18983508
jupyterlab-pygments,18832885
gremlinpython,18813619
pickleshare,18687053
html5lib,18623714
python-slugify,18614032
mock,18573450
setproctitle,18562446
entrypoints,18508021
backcall,18413020
dataclasses-json,18374683
seaborn,18340627
widgetsnbextension,18296803
tensorflow-estimator,18174036
azure-mgmt-core,18044828
backports-zoneinfo,18013270
ipywidgets,18000227
jupyter-events,17996941
hvac,17977422
webcolors,17943098
rfc3986-validator,17856051
keras,17806462
opentelemetry-semantic-conventions,17775321
jupyterlab-widgets,17688149
numba,17664939
statsmodels,17549589
fqdn,17491419
google-cloud-bigquery-storage,17458626
terminado,17452642
isoduration,17434306
lockfile,17397846
uri-template,17348226
croniter,17324658
llvmlite,17319032
pathos,17314161
msrestazure,17260152
selenium,17225320
pox,17061822
ruff,17059865
ppft,17029566
jupyter-server-terminals,16924535
snowballstemmer,16899661
schema,16582025
smdebug-rulesconfig,16496750
click-man,16293185
async-lru,16206907
cached-property,16189098
patsy,16086849
azure-keyvault-secrets,16056815
dataclasses,16036655
tensorboard-data-server,16019556
click-plugins,15859421
plotly,15814866
db-dtypes,15786155
psycopg2,15777422
jupyter-lsp,15731717
django,15629837
databricks-cli,15621196
coloredlogs,15572313
aiofiles,15540314
faker,15496958
azure-storage-file-datalake,15420244
safetensors,15393665
tox,15273677
semantic-version,15226905
ordered-set,15186698
google-cloud-appengine-logging,15149549
docker-pycreds,14838461
types-pyyaml,14718330
antlr4-python3-runtime,14713426
opt-einsum,14688007
sphinx,14687442
hatchling,14651773
opentelemetry-proto,14614507
apache-airflow-providers-common-sql,14607204
scikit-image,14583286
wsproto,14460402
azure-mgmt-resource,14442474
azure-nspkg,14426308
inflection,14255446
makefun,14231599
rfc3986,14134452
prettytable,14006176
lz4,13918008
opencv-python,13917288
aws-requests-auth,13834837
structlog,13731702
mlflow,13619005
astunparse,13584984
pywin32,13449829
aws-sam-translator,13434696
graphql-core,13303446
pytest-asyncio,13284605
argparse,13283350
confluent-kafka,13053114
email-validator,13022188
azure-datalake-store,12976037
wandb,12839439
unidecode,12729107
kafka-python,12701174
colorlog,12689261
pip-tools,12624620
trio,12564968
opencensus,12563120
google-cloud-resource-manager,12556893
tensorflow-io-gcs-filesystem,12474646
opencensus-context,12453089
thrift,12445967
pywavelets,12406659
gcsfs,12392767
jsonpickle,12333571
google-cloud-logging,12271912
retrying,12232516
pandas-gbq,12123641
opentelemetry-exporter-otlp-proto-common,12083556
zeep,11995450
sshtunnel,11984976
outcome,11962120
opencensus-ext-azure,11913151
querystring-parser,11896222
torchvision,11864627
configparser,11847503
deprecation,11835389
orbax-checkpoint,11690283
typing,11673075
azure-mgmt-storage,11665749
pydeequ,11647763
azure-storage-common,11639323
google-cloud-firestore,11627416
ujson,11625914
docopt,11545730
opentelemetry-exporter-otlp-proto-http,11543283
xxhash,11482688
python-multipart,11395029
libclang,11358386
mdit-py-plugins,11327409
fastavro,11310020
freezegun,11303805
nvidia-nccl-cu12,11198864
tensorflow-serving-api,11184724
nvidia-cublas-cu12,11083673
ecdsa,11077852
brotli,11066628
pipenv,11032487
nvidia-cudnn-cu12,11018144
nvidia-cuda-nvrtc-cu12,10996836
monotonic,10955835
triton,10930014
nvidia-nvjitlink-cu12,10926517
imagesize,10916042
kombu,10908286
langchain-core,10903930
alabaster,10901596
nvidia-cuda-runtime-cu12,10895692
nvidia-cuda-cupti-cu12,10881571
python-daemon,10878300
azure-cosmos,10864900
aniso8601,10862961
docstring-parser,10856092
nvidia-cufft-cu12,10836327
deepdiff,10815332
jaraco-functools,10811874
trio-websocket,10797727
imbalanced-learn,10789808
databricks-sql-connector,10785139
graphviz,10775289
nvidia-curand-cu12,10768702
amqp,10768166
azure-keyvault,10755020
nvidia-cusparse-cu12,10737522
pyathena,10727925
nvidia-cusolver-cu12,10722708
pydata-google-auth,10713956
tblib,10691965
libcst,10687258
azure-graphrbac,10671883
tldextract,10671205
vine,10644349
tensorstore,10606862
nvidia-nvtx-cu12,10606435
pymssql,10566964
jaraco-context,10542825
sphinxcontrib-serializinghtml,10542619
apscheduler,10519220
gevent,10490590
opentelemetry-exporter-otlp-proto-grpc,10480671
uvloop,10398880
delta-spark,10378685
sphinxcontrib-htmlhelp,10262485
sphinxcontrib-applehelp,10211171
sphinxcontrib-devhelp,10198387
sphinxcontrib-qthelp,10198364
celery,10145625
azure-mgmt-containerregistry,10129896
zope-event,10101859
invoke,10088560
pytest-timeout,10078922
billiard,10073071
omegaconf,10066061
pathlib2,10024796
boto,10010161
sphinxcontrib-jsmath,9993120
google-cloud-audit-log,9954597
datetime,9948393
pysftp,9904141
ijson,9888872
httptools,9879684
flask-cors,9871026
chex,9848442
tiktoken,9818899
azure-keyvault-keys,9815601
pytest-metadata,9797969
google-cloud-aiplatform,9655543
applicationinsights,9642852
djangorestframework,9600009
mypy-boto3-rds,9594372
azure-mgmt-keyvault,9578091
azure-mgmt-authorization,9521033
ninja,9508464
gspread,9480591
datasets,9471808
python-jose,9433734
enum34,9420368
azure-data-tables,9397727
cfn-lint,9371725
langchain-community,9334450
flask-appbuilder,9318369
time-machine,9273510
moto,9166001
python-magic,9163272
watchtower,9142346
azure-mgmt-network,9142149
zstandard,9131899
gsutil,9102831
authlib,9091941
jira,9076542
ml-dtypes,9059734
azure-cli,9053081
pybind11,9036313
pyproj,8975136
simple-salesforce,8942257
hpack,8911040
strenum,8887394
stevedore,8884701
watchfiles,8877555
opentelemetry-exporter-otlp,8868475
azure-mgmt-compute,8833329
pycountry,8769715
spacy,8729893
hyperframe,8711783
azure-storage-queue,8666525
h2,8650438
futures,8601193
knack,8590415
texttable,8521957
cssselect,8490507
optax,8427240
click-didyoumean,8402946
thinc,8396455
pycrypto,8340807
python-gnupg,8317905
click-repl,8264376
azure-cli-core,8152268
azure-mgmt-cosmosdb,8106564
azure-mgmt-nspkg,8099425
accelerate,8077619
ddtrace,8076330
shap,8075116
readme-renderer,8072497
pytest-html,8067333
langchain,8000510
boto3-stubs,7986212
jsondiff,7984353
cramjam,7983086
nvidia-cudnn-cu11,7954447
nvidia-cublas-cu11,7943356
typed-ast,7938920
lightgbm,7913763
dask,7909466
azure-mgmt-msi,7908498
validators,7903142
humanize,7890698
cligj,7875703
wasabi,7850405
apache-airflow-providers-http,7844800
cymem,7748150
azure-batch,7739105
catalogue,7727475
mypy-boto3-s3,7713012
nh3,7708219
sh,7684894
apispec,7677167
srsly,7660918
murmurhash,7654632
nvidia-cuda-nvrtc-cu11,7643992
python-gitlab,7629193
hypothesis,7608649
nvidia-cuda-runtime-cu11,7597083
botocore-stubs,7573677
preshed,7568003
dateparser,7567348
ipython-genutils,7564034
fabric,7542033
fastparquet,7541484
astor,7521674
fuzzywuzzy,7510772
azure-mgmt-redis,7509227
python-http-client,7488350
pytimeparse,7477763
graphene,7472379
azure-mgmt-containerservice,7468072
graphql-relay,7453151
jpype1,7447691
langsmith,7430796
types-pytz,7425523
